Year,Region,Household Type,Measure,Value,Flags
"2007","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2008","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2009","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2010","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2011","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2012","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2013","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2014","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2015","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2016","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2017","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2018","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"1998","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"1999","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2000","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2001","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2002","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2003","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2004","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2005","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2006","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2007","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2008","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2009","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2010","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2011","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2012","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2013","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2014","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2015","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2016","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2017","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"2018","Gisborne/Hawkes Bay Regions","Couple only","Median Government Transfer Income",0,
"1998","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",14,
"1999","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",14.2,
"2000","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",14.2,
"2001","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",14.5,
"2002","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",15.9,
"2003","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",16.1,
"2004","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",15.3,
"2005","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",15,
"2006","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",15,
"2007","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",13.9,
"2008","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",16.7,
"2009","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",15.8,
"2010","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",14.9,
"2011","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",15.6,
"2012","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",12.8,
"2013","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",14.1,
"2014","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",14.6,
"2015","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",13.9,
"2016","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",15.4,
"2017","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",14.7,
"2018","Gisborne/Hawkes Bay Regions","Couple only","Number of households (000)",15.5,
"1998","Taranaki Region","Couple only","Median Wage and Salary Income",444,
"1999","Taranaki Region","Couple only","Median Wage and Salary Income",400,
"2000","Taranaki Region","Couple only","Median Wage and Salary Income",479,
"2001","Taranaki Region","Couple only","Median Wage and Salary Income",457,
"2002","Taranaki Region","Couple only","Median Wage and Salary Income",540,
"2003","Taranaki Region","Couple only","Median Wage and Salary Income",720,
"2004","Taranaki Region","Couple only","Median Wage and Salary Income",742,
"2005","Taranaki Region","Couple only","Median Wage and Salary Income",863,
"2006","Taranaki Region","Couple only","Median Wage and Salary Income",901,
"2007","Taranaki Region","Couple only","Median Wage and Salary Income",800,
"2008","Taranaki Region","Couple only","Median Wage and Salary Income",952,
"2009","Taranaki Region","Couple only","Median Wage and Salary Income",1079,
"2010","Taranaki Region","Couple only","Median Wage and Salary Income",1086,
"2011","Taranaki Region","Couple only","Median Wage and Salary Income",991,
"2012","Taranaki Region","Couple only","Median Wage and Salary Income",1189,
"2013","Taranaki Region","Couple only","Median Wage and Salary Income",1343,
"2014","Taranaki Region","Couple only","Median Wage and Salary Income",1300,
"2015","Taranaki Region","Couple only","Median Wage and Salary Income",1400,
"2016","Taranaki Region","Couple only","Median Wage and Salary Income",1311,
"2017","Taranaki Region","Couple only","Median Wage and Salary Income",1299,
"2018","Taranaki Region","Couple only","Median Wage and Salary Income",1311,
"1998","Taranaki Region","Couple only","Median Self-employment Income",0,
"1999","Taranaki Region","Couple only","Median Self-employment Income",0,
"2000","Taranaki Region","Couple only","Median Self-employment Income",0,
"2001","Taranaki Region","Couple only","Median Self-employment Income",0,
"2002","Taranaki Region","Couple only","Median Self-employment Income",0,
"2003","Taranaki Region","Couple only","Median Self-employment Income",0,
"2004","Taranaki Region","Couple only","Median Self-employment Income",0,
"2005","Taranaki Region","Couple only","Median Self-employment Income",0,
"2006","Taranaki Region","Couple only","Median Self-employment Income",0,
"2007","Taranaki Region","Couple only","Median Self-employment Income",0,
"2008","Taranaki Region","Couple only","Median Self-employment Income",0,
"2009","Taranaki Region","Couple only","Median Self-employment Income",0,
"2010","Taranaki Region","Couple only","Median Self-employment Income",0,
"2011","Taranaki Region","Couple only","Median Self-employment Income",0,
"2012","Taranaki Region","Couple only","Median Self-employment Income",0,
"2013","Taranaki Region","Couple only","Median Self-employment Income",0,
"2014","Taranaki Region","Couple only","Median Self-employment Income",0,
"2015","Taranaki Region","Couple only","Median Self-employment Income",0,
"2016","Taranaki Region","Couple only","Median Self-employment Income",0,
"2017","Taranaki Region","Couple only","Median Self-employment Income",0,
"2018","Taranaki Region","Couple only","Median Self-employment Income",0,
"1998","Taranaki Region","Couple only","Median Government Transfer Income",0,
"1999","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2000","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2001","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2002","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2003","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2004","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2005","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2006","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2007","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2008","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2009","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2010","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2011","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2012","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2013","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2014","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2015","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2016","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2017","Taranaki Region","Couple only","Median Government Transfer Income",0,
"2018","Taranaki Region","Couple only","Median Government Transfer Income",0,
"1998","Taranaki Region","Couple only","Number of households (000)",7.9,
"1999","Taranaki Region","Couple only","Number of households (000)",8,
"2000","Taranaki Region","Couple only","Number of households (000)",8.4,
"2001","Taranaki Region","Couple only","Number of households (000)",9.9,
"2002","Taranaki Region","Couple only","Number of households (000)",9.1,
"2003","Taranaki Region","Couple only","Number of households (000)",9,
"2004","Taranaki Region","Couple only","Number of households (000)",9.7,
"2005","Taranaki Region","Couple only","Number of households (000)",10,
"2006","Taranaki Region","Couple only","Number of households (000)",11.1,
"2007","Taranaki Region","Couple only","Number of households (000)",9.9,
"2008","Taranaki Region","Couple only","Number of households (000)",9.4,
